"city_en"
"Sapporo, Sapporo"
"Fuji, Shizuoka"
"Iwata, Shizuoka"
"Yaizu, Shizuoka"
"Kakegawa, Shizuoka"
"Fujieda, Shizuoka"
"Gotemba, Shizuoka"
"Fukuroi, Shizuoka"
"Shimoda, Shizuoka"
"Susono, Shizuoka"
"Kosai, Shizuoka"
"Izu, Shizuoka"
"Omaezaki"
"Kikugawa"
"Izunokuni"
"Makinohara"
"Higashiizu"
"Kawazu, Shizuoka"
"Minamiizu"
"Matsuzaki, Shizuoka"
"Nishiizu"
"Kannami"
"Shimizu, Shizuoka"
"Nagaizumi"
"Oyama, Shizuoka"
"Yoshida, Shizuoka"
"Kawanehon"
"Mori, Shizuoka"
"Nagoya"
"Chikusa-ku, Nagoya"
"Higashi-ku, Nagoya"
"Kita-ku, Nagoya"
"Nishi-ku, Nagoya"
"Nakamura-ku, Nagoya"
"Naka-ku, Nagoya"
"Showa-ku"
"Mizuho-ku, Nagoya"
"Atsuta-ku, Nagoya"
"Nakagawa-ku, Nagoya"
"Minato-ku, Nagoya"
"Minami-ku, Nagoya"
"Moriyama-ku, Nagoya"
"Midori-ku, Nagoya"
"Meito-ku, Nagoya"
"Tenpaku-ku"
"Toyohashi"
"Okazaki, Aichi"
"Ichinomiya, Aichi"
"Seto, Aichi"
"Handa, Aichi"
"Kasugai, Aichi"
"Toyokawa, Aichi"
"Tsushima, Aichi"
"Hekinan"
"Kariya, Aichi"
"Toyota, Aichi"
"Anjo"
"Nishio, Aichi"
"Gamagori"
"Inuyama"
"Tokoname"
"Konan, Aichi"
"Komaki"
"Inazawa, Aichi"
"Shinshiro, Aichi"
"Tokai, Aichi"
"obu, Aichi"
"Chita, Aichi"
"Chiryu"
"Owariasahi, Aichi"
"Takahama, Aichi"
"Iwakura, Aichi"
"Toyoake, Aichi"
"Nisshin, Aichi"
"Tahara, Aichi"
"Aisai"
"Kiyosu"
"Kitanagoya"
"Yatomi"
"Miyoshi, Aichi"
"Ama, Aichi"
"Nagakute, Aichi"
"Togo, Aichi"
"Toyoyama, Aichi"
"oguchi, Aichi"
"Fuso, Aichi"
"oharu, Aichi"
"Kanie, Aichi"
"Tobishima, Aichi"
"Agui, Aichi"
"Higashiura, Aichi"
"Minamichita, Aichi"
"Mihama, Aichi"
"Taketoyo"
"Kota, Aichi"
"Shitara, Aichi"
"Toei, Aichi"
"Toyone, Aichi"
"Tsu, Mie"
"Yokkaichi"
"Ise, Mie"
"Matsusaka, Mie"
"Kuwana, Mie"
"Suzuka, Mie"
"Nabari, Mie"
"Owase, Mie"
"Kameyama, Mie"
"Toba, Mie"
"Kumano, Mie"
"Inabe, Mie"
"Shima, Mie"
"Iga, Mie"
"Kisosaki, Mie"
"Toin, Mie"
"Komono, Mie"
"Asahi, Mie"
"Kawagoe, Mie"
"Taki, Mie"
"Meiwa, Mie"
"odai, Mie"
"Tamaki, Mie"
"Watarai, Mie"
"Taiki, Mie"
"Minamiise, Mie"
"Kihoku, Mie"
"Mihama, Mie"
"Kiho, Mie"
"otsu"
"Hikone, Shiga"
"Nagahama, Shiga"
"omihachiman"
"Kusatsu, Shiga"
"Moriyama, Shiga"
"Ritto, Shiga"
"Koka, Shiga"
"Yasu, Shiga"
"Konan, Shiga"
"Takashima, Shiga"
"Higashiomi"
"Maibara, Shiga"
"Hino, Shiga"
"Ryuo, Shiga"
"Aisho, Shiga"
"Toyosato, Shiga"
"Kora, Shiga"
"Taga, Shiga"
"Kyoto"
"Kita-ku, Kyoto"
"Kamigyo-ku"
"Sakyo-ku, Kyoto"
"Nakagyo-ku, Kyoto"
"Higashiyama-ku, Kyoto"
"Shimogyo-ku, Kyoto"
"Minami-ku, Kyoto"
"Ukyo-ku, Kyoto"
"Fushimi-ku, Kyoto"
"Yamashina-ku, Kyoto"
"Nishikyo-ku, Kyoto"
"Fukuchiyama, Kyoto"
"Maizuru"
"Ayabe, Kyoto"
"Uji"
"Miyazu, Kyoto"
"Kameoka, Kyoto"
"Joyo, Kyoto"
"Muko"
"Nagaokakyo, Kyoto"
"Yawata"
"Kyotanabe, Kyoto"
"Kyotango"
"Nantan, Kyoto"
"Kizugawa, Kyoto"
"oyamazaki, Kyoto"
"Kumiyama, Kyoto"
"Ide, Kyoto"
"Ujitawara"
"Kasagi, Kyoto"
"Wazuka, Kyoto"
"Seika, Kyoto"
"Minamiyamashiro, Kyoto"
"Kyotamba, Kyoto"
"Ine, Kyoto"
"Yosano, Kyoto"
"Osaka"
"Miyakojima-ku, Osaka"
"Fukushima-ku, Osaka"
"Konohana-ku, Osaka"
"Nishi-ku, Osaka"
"Minato-ku, Osaka"
"Taisho-ku, Osaka"
"Tennoji-ku, Osaka"
"Naniwa-ku, Osaka"
"Nishiyodogawa-ku, Osaka"
"Higashiyodogawa-ku, Osaka"
"Higashinari-ku, Osaka"
"Ikuno-ku, Osaka"
"Asahi-ku, Osaka"
"Joto-ku, Osaka"
"Abeno-ku, Osaka"
"Sumiyoshi-ku, Osaka"
"Higashisumiyoshi-ku, Osaka"
"Nishinari-ku, Osaka"
"Yodogawa-ku, Osaka"
"Tsurumi-ku, Osaka"
"Suminoe-ku, Osaka"
"Hirano-ku, Osaka"
"Kita-ku, Osaka"
"Chuo-ku, Osaka"
"Sakai"
"Sakai-ku, Sakai"
"Naka-ku, Sakai"
"Higashi-ku, Sakai"
"Nishi-ku, Sakai"
"Minami-ku, Sakai"
"Kita-ku, Sakai"
"Mihara-ku, Sakai"
"Kishiwada, Osaka"
"Toyonaka"
"Ikeda, Osaka"
"Suita"
"Izumiotsu"
"Takatsuki"
"Kaizuka, Osaka"
"Moriguchi, Osaka"
"Hirakata"
"Ibaraki, Osaka"
"Yao, Osaka"
"Izumisano, Osaka"
"Tondabayashi, Osaka"
"Neyagawa, Osaka"
"Kawachinagano, Osaka"
"Matsubara, Osaka"
"Daito, Osaka"
"Izumi, Osaka"
"Minoh, Osaka"
"Kashiwara, Osaka"
"Habikino, Osaka"
"Kadoma, Osaka"
"Settsu, Osaka"
"Takaishi, Osaka"
"Fujiidera, Osaka"
"Higashiosaka"
"Sennan, Osaka"
"Shijonawate, Osaka"
"Katano, Osaka"
"osakasayama, Osaka"
"Hannan, Osaka"
"Shimamoto, Osaka"
"Toyono, Osaka"
"Nose, Osaka"
"Tadaoka, Osaka"
"Kumatori, Osaka"
"Tajiri, Osaka"
"Misaki, Osaka"
"Taishi, Osaka"
"Kanan, Osaka"
"Chihayaakasaka, Osaka"
"Kobe"
"Higashinada-ku, Kobe"
"Nada-ku, Kobe"
"Hyogo-ku, Kobe"
"Nagata-ku, Kobe"
"Suma-ku, Kobe"
"Tarumi-ku, Kobe"
"Kita-ku, Kobe"
"Chuo-ku, Kobe"
"Nishi-ku, Kobe"
"Himeji, Hyogo"
"Amagasaki, Hyogo"
"Akashi, Hyogo"
"Nishinomiya"
"Sumoto, Hyogo"
"Ashiya, Hyogo"
"Itami, Hyogo"
"Aioi, Hyogo"
"Toyooka, Hyogo"
"Kakogawa, Hyogo"
"Ako, Hyogo"
"Nishiwaki, Hyogo"
"Takarazuka, Hyogo"
"Miki, Hyogo"
"Takasago, Hyogo"
"Kawanishi, Hyogo"
"Ono, Hyogo"
"Sanda, Hyogo"
"Kasai, Hyogo"
"Tamba-Sasayama"
"Yabu, Hyogo"
"Tanba, Hyogo"
"Minamiawaji"
"Asago, Hyogo"
"Awaji, Hyogo"
"Shiso, Hyogo"
"Kato, Hyogo"
"Tatsuno, Hyogo"
"Inagawa, Hyogo"
"Taka, Hyogo"
"Inami, Hyogo"
"Harima, Hyogo"
"Ichikawa, Hyogo"
"Fukusaki, Hyogo"
"Kamikawa, Hyogo"
"Taishi, Hyogo"
"Kamigori, Hyogo"
"Sayo, Hyogo"
"Kami, Hyogo (Mikata)"
"Shin'onsen, Hyogo"
"Nara, Nara"
"Yamatotakada, Nara"
"Yamatokoriyama"
"Tenri, Nara"
"Kashihara, Nara"
"Sakurai, Nara"
"Gojo, Nara"
"Gose, Nara"
"Ikoma, Nara"
"Kashiba, Nara"
"Katsuragi, Nara"
"Uda, Nara"
"Yamazoe, Nara"
"Heguri, Nara"
"Sango, Nara"
"Ikaruga, Nara"
"Ando, Nara"
"Kawanishi, Nara"
"Miyake, Nara"
"Tawaramoto, Nara"
"Soni, Nara"
"Mitsue, Nara"
"Takatori, Nara"
"Asuka, Nara"
"Kanmaki, Nara"
"oji, Nara"
"Koryo, Nara"
"Kawai, Nara"
"Yoshino, Nara"
"oyodo, Nara"
"Shimoichi, Nara"
"Kurotaki, Nara"
"Tenkawa, Nara"
"Nosegawa, Nara"
"Totsukawa"
"Shimokitayama, Nara"
"Kamikitayama, Nara"
"Kawakami, Nara"
"Higashiyoshino, Nara"
"Wakayama (city)"
"Kainan, Wakayama"
"Hashimoto, Wakayama"
"Arida, Wakayama"
"Gobo, Wakayama"
"Tanabe, Wakayama"
"Shingu, Wakayama"
"Kinokawa, Wakayama"
"Iwade, Wakayama"
"Kimino, Wakayama"
"Katsuragi, Wakayama"
"Kudoyama, Wakayama"
"Koya, Wakayama"
"Yuasa, Wakayama"
"Hirogawa, Wakayama"
"Aridagawa, Wakayama"
"Mihama, Wakayama"
"Hidaka, Wakayama"
"Yura, Wakayama"
"Inami, Wakayama"
"Minabe, Wakayama"
"Hidakagawa, Wakayama"
"Shirahama, Wakayama"
"Kamitonda, Wakayama"
"Susami, Wakayama"
"Nachikatsuura"
"Taiji, Wakayama"
"Kozagawa, Wakayama"
"Kitayama, Wakayama"
"Kushimoto, Wakayama"
"Tottori (city)"
"Yonago, Tottori"
"Kurayoshi, Tottori"
"Sakaiminato, Tottori"
"Iwami, Tottori"
"Wakasa, Tottori"
"Chizu, Tottori"
"Yazu, Tottori"
"Misasa, Tottori"
"Yurihama, Tottori"
"Kotoura, Tottori"
"Hokuei, Tottori"
"Hiezu, Tottori"
"Daisen, Tottori"
"Nanbu, Tottori"
"Hoki, Tottori"
"Nichinan, Tottori"
"Hino, Tottori"
"Kofu, Tottori"
"Matsue"
"Hamada, Shimane"
"Izumo, Shimane"
"Masuda, Shimane"
"oda, Shimane"
"Yasugi, Shimane"
"Gotsu, Shimane"
"Unnan, Shimane"
"Okuizumo, Shimane"
"Iinan, Shimane"
"Kawamoto, Shimane"
"Misato, Shimane"
"onan, Shimane"
"Tsuwano, Shimane"
"Yoshika, Shimane"
"Ama, Shimane"
"Nishinoshima, Shimane"
"Chibu, Shimane"
"Okinoshima, Shimane"
"Okayama"
"Kita-ku, Okayama"
"Naka-ku, Okayama"
"Higashi-ku, Okayama"
"Minami-ku, Okayama"
"Kurashiki, Okayama"
"Tsuyama"
"Tamano"
"Kasaoka"
"Ibara"
"Soja"
"Takahashi, Okayama"
"Niimi"
"Bizen, Okayama"
"Setouchi, Okayama"
"Akaiwa"
"Maniwa"
"Mimasaka, Okayama"
"Asakuchi"
"Wake, Okayama"
"Hayashima"
"Satosho"
"Yakage, Okayama"
"Shinjo, Okayama"
"Kagamino"
"Shoo"
"Nagi, Okayama"
"Nishiawakura"
"Kumenan"
"Misaki, Okayama"
"Kibichuo"
"Hiroshima"
"Naka-ku, Hiroshima"
"Higashi-ku, Hiroshima"
"Minami-ku, Hiroshima"
"Nishi-ku, Hiroshima"
"Asaminami-ku, Hiroshima"
"Asakita-ku, Hiroshima"
"Aki-ku, Hiroshima"
"Saeki-ku, Hiroshima"
"Kure, Hiroshima"
"Takehara, Hiroshima"
"Mihara, Hiroshima"
"Onomichi, Hiroshima"
"Fukuyama, Hiroshima"
"Fuchu, Hiroshima"
"Miyoshi, Hiroshima"
"Shobara, Hiroshima"
"otake, Hiroshima"
"Higashihiroshima"
"Hatsukaichi, Hiroshima"
"Akitakata, Hiroshima"
"Etajima, Hiroshima"
"Fuchu, Hiroshima (town)"
"Kaita, Hiroshima"
"Kumano, Hiroshima"
"Saka, Hiroshima"
"Akiota, Hiroshima"
"Kitahiroshima, Hiroshima"
"osakikamijima, Hiroshima"
"Sera, Hiroshima"
"Jinsekikogen, Hiroshima"
"Shimonoseki, Yamaguchi"
"Ube, Yamaguchi"
"Yamaguchi (city)"
"Hagi, Yamaguchi"
"Hofu"
"Kudamatsu"
"Iwakuni"
"Hikari, Yamaguchi"
"Nagato, Yamaguchi"
"Yanai, Yamaguchi"
"Mine, Yamaguchi"
"Shunan"
"San'yo-Onoda"
"Suo-oshima"
"Waki, Yamaguchi"
"Kaminoseki"
"Tabuse"
"Hirao"
"Abu, Yamaguchi"
"Tokushima (city)"
"Naruto, Tokushima"
"Komatsushima, Tokushima"
"Anan, Tokushima"
"Yoshinogawa, Tokushima"
"Awa, Tokushima"
"Mima, Tokushima"
"Miyoshi, Tokushima"
"Katsuura, Tokushima"
"Kamikatsu, Tokushima"
"Sanagochi, Tokushima"
"Ishii, Tokushima"
"Kamiyama, Tokushima"
"Naka, Tokushima"
"Mugi, Tokushima"
"Minami, Tokushima"
"Kaiyo, Tokushima"
"Matsushige, Tokushima"
"Kitajima, Tokushima"
"Aizumi, Tokushima"
"Itano, Tokushima"
"Kamiita, Tokushima"
"Tsurugi, Tokushima"
"Higashimiyoshi"
"Takamatsu, Kagawa"
"Marugame, Kagawa"
"Sakaide, Kagawa"
"Zentsuji, Kagawa"
"Kan'onji, Kagawa"
"Sanuki, Kagawa"
"Higashikagawa, Kagawa"
"Mitoyo, Kagawa"
"Tonosho, Kagawa"
"Shodoshima, Kagawa"
"Miki, Kagawa"
"Naoshima, Kagawa"
"Utazu"
"Ayagawa, Kagawa"
"Kotohira, Kagawa"
"Tadotsu, Kagawa"
"Manno, Kagawa"
"Matsuyama"
"Imabari, Ehime"
"Uwajima, Ehime"
"Yawatahama, Ehime"
"Niihama, Ehime"
"Saijo, Ehime"
"ozu, Ehime"
"Iyo, Ehime"
"Shikokuchuo"
"Seiyo, Ehime"
"Toon, Ehime"
"Kamijima, Ehime"
"Kumakogen, Ehime"
"Masaki, Ehime"
"Tobe, Ehime"
"Uchiko, Ehime"
"Ikata"
"Matsuno, Ehime"
"Kihoku, Ehime"
"Ainan, Ehime"
"Kochi, Kochi"
"Muroto, Kochi"
"Aki, Kochi"
"Nankoku, Kochi"
"Tosa, Kochi"
"Susaki, Kochi"
"Sukumo, Kochi"
"Tosashimizu, Kochi"
"Shimanto, Kochi (city)"
"Konan, Kochi"
"Kami, Kochi"
"Toyo, Kochi"
"Nahari, Kochi"
"Tano, Kochi"
"Yasuda, Kochi"
"Kitagawa, Kochi"
"Umaji, Kochi"
"Geisei, Kochi"
"Motoyama, Kochi"
"otoyo, Kochi"
"Tosa, Kochi (town)"
"okawa, Kochi"
"Ino, Kochi"
"Niyodogawa, Kochi"
"Nakatosa, Kochi"
"Sakawa, Kochi"
"Ochi, Kochi"
"Yusuhara, Kochi"
"Hidaka, Kochi"
"Tsuno, Kochi"
"Shimanto, Kochi (town)"
"otsuki, Kochi"
"Mihara, Kochi"
"Kuroshio, Kochi"
"Kitakyushu, Kitakyushu"
"Moji-ku, Kitakyushu"
"Wakamatsu-ku, Kitakyushu"
"Tobata-ku, Kitakyushu"
"Kokurakita-ku, Kitakyushu"
"Kokuraminami-ku, Kitakyushu"
"Yahatahigashi-ku, Kitakyushu"
"Yahatanishi-ku, Kitakyushu"
"Fukuoka"
"Higashi-ku, Fukuoka"
"Hakata-ku, Fukuoka"
"Chuo-ku, Fukuoka"
"Minami-ku, Fukuoka"
"Nishi-ku, Fukuoka"
"Jonan-ku, Fukuoka"
"Sawara-ku, Fukuoka"
"omuta, Fukuoka"
"Kurume, Fukuoka"
"Nogata, Fukuoka"
"Iizuka, Fukuoka"
"Tagawa, Fukuoka"
"Yanagawa, Fukuoka"
"Yame, Fukuoka"
"Chikugo, Fukuoka"
"okawa, Fukuoka"
"Yukuhashi, Fukuoka"
"Buzen, Fukuoka"
"Nakama, Fukuoka"
"Ogori, Fukuoka"
"Chikushino, Fukuoka"
"Kasuga, Fukuoka"
"onojo"
"Munakata, Fukuoka"
"Dazaifu, Fukuoka"
"Koga, Fukuoka"
"Fukutsu, Fukuoka"
"Ukiha, Fukuoka"
"Miyawaka"
"Kama, Fukuoka"
"Asakura, Fukuoka"
"Miyama, Fukuoka"
"Itoshima, Fukuoka"
"Nakagawa, Fukuoka"
"Umi, Fukuoka"
"Sasaguri, Fukuoka"
"Shime, Fukuoka"
"Sue, Fukuoka"
"Shingu, Fukuoka"
"Hisayama, Fukuoka"
"Kasuya, Fukuoka"
"Ashiya, Fukuoka"
"Mizumaki, Fukuoka"
"Okagaki, Fukuoka"
"Onga, Fukuoka"
"Kotake, Fukuoka"
"Kurate, Fukuoka"
"Keisen, Fukuoka"
"Chikuzen, Fukuoka"
"Toho, Fukuoka"
"Tachiarai, Fukuoka"
"oki, Fukuoka"
"Hirokawa, Fukuoka"
"Kawara, Fukuoka"
"Soeda, Fukuoka"
"Itoda, Fukuoka"
"Kawasaki, Fukuoka"
"oto, Fukuoka"
"Aka, Fukuoka"
"Fukuchi, Fukuoka"
"Kanda, Fukuoka"
"Miyako, Fukuoka"
"Yoshitomi, Fukuoka"
"Koge, Fukuoka"
"Chikujo, Fukuoka"
"Saga (city)"
"Karatsu, Saga"
"Tosu, Saga"
"Taku, Saga"
"Imari, Saga"
"Takeo, Saga"
"Kashima, Saga"
"Ogi, Saga"
"Ureshino, Saga"
"Kanzaki, Saga"
"Yoshinogari, Saga"
"Kiyama, Saga"
"Kamimine, Saga"
"Miyaki, Saga"
"Genkai, Saga"
"Arita, Saga"
"omachi, Saga"
"Kohoku, Saga"
"Shiroishi, Saga"
"Tara, Saga"
"Nagasaki"
"Sasebo, Nagasaki"
"Shimabara, Nagasaki"
"Isahaya, Nagasaki"
"omura, Nagasaki"
"Hirado, Nagasaki"
"Matsuura, Nagasaki"
"Tsushima, Nagasaki"
"Iki, Nagasaki"
"Goto, Nagasaki"
"Saikai, Nagasaki"
"Unzen, Nagasaki"
"Minamishimabara"
"Nagayo, Nagasaki"
"Togitsu, Nagasaki"
"Higashisonogi, Nagasaki"
"Kawatana, Nagasaki"
"Hasami, Nagasaki"
"Ojika, Nagasaki"
"Saza, Nagasaki"
"Shin-Kamigoto"
"Kumamoto"
"Chuo-ku, Kumamoto"
"Higashi-ku, Kumamoto"
"Nishi-ku, Kumamoto"
"Minami-ku, Kumamoto"
"Kita-ku, Kumamoto"
"Yatsushiro, Kumamoto"
"Hitoyoshi, Kumamoto"
"Arao, Kumamoto"
"Minamata, Kumamoto"
"Tamana, Kumamoto"
"Yamaga, Kumamoto"
"Kikuchi, Kumamoto"
"Uto, Kumamoto"
"Kami-Amakusa"
"Uki, Kumamoto"
"Aso, Kumamoto"
"Amakusa, Kumamoto"
"Koshi, Kumamoto"
"Misato, Kumamoto"
"Gyokuto, Kumamoto"
"Nankan, Kumamoto"
"Nagasu, Kumamoto"
"Nagomi, Kumamoto"
"ozu, Kumamoto"
"Kikuyo, Kumamoto"
"Minamioguni, Kumamoto"
"Oguni, Kumamoto"
"Ubuyama, Kumamoto"
"Takamori, Kumamoto"
"Nishihara, Kumamoto"
"Minamiaso, Kumamoto"
"Mifune, Kumamoto"
"Kashima, Kumamoto"
"Mashiki, Kumamoto"
"Kosa, Kumamoto"
"Yamato, Kumamoto"
"Hikawa, Kumamoto"
"Ashikita, Kumamoto"
"Tsunagi, Kumamoto"
"Nishiki, Kumamoto"
"Taragi, Kumamoto"
"Yunomae, Kumamoto"
"Mizukami, Kumamoto"
"Sagara, Kumamoto"
"Itsuki, Kumamoto"
"Yamae, Kumamoto"
"Kuma, Kumamoto"
"Asagiri, Kumamoto"
"Reihoku, Kumamoto"
"oita (city)"
"Beppu"
"Nakatsu, oita"
"Hita, oita"
"Saiki, oita"
"Usuki, oita"
"Tsukumi, oita"
"Taketa, oita"
"Bungotakada, oita"
"Kitsuki, oita"
"Usashi, oita"
"Bungo-ono"
"Yufu"
"Kunisaki"
"Himeshima, oita"
"Hiji, oita"
"Kokonoe, oita"
"Kusu, oita"
"Miyazaki (city)"
"Miyakonojo"
"Nobeoka, Miyazaki"
"Nichinan, Miyazaki"
"Kobayashi, Miyazaki"
"Hyuga, Miyazaki"
"Kushima, Miyazaki"
"Saito, Miyazaki"
"Ebino, Miyazaki"
"Mimata, Miyazaki"
"Takaharu, Miyazaki"
"Kunitomi, Miyazaki"
"Aya, Miyazaki"
"Takanabe, Miyazaki"
"Shintomi, Miyazaki"
"Nishimera, Miyazaki"
"Kijo, Miyazaki"
"Kawaminami, Miyazaki"
"Tsuno, Miyazaki"
"Kadogawa, Miyazaki"
"Morotsuka, Miyazaki"
"Shiiba, Miyazaki"
"Misato, Miyazaki"
"Takachiho, Miyazaki"
"Hinokage, Miyazaki"
"Gokase, Miyazaki"
"Kagoshima"
"Kanoya, Kagoshima"
"Makurazaki, Kagoshima"
"Akune, Kagoshima"
"Izumi, Kagoshima"
"Ibusuki, Kagoshima"
"Nishinoomote, Kagoshima"
"Tarumizu, Kagoshima"
"Satsumasendai, Kagoshima"
"Hioki, Kagoshima"
"Soo, Kagoshima"
"Kirishima, Kagoshima"
"Ichikikushikino"
"Minamisatsuma"
"Shibushi, Kagoshima"
"Amami, Kagoshima"
"Minamikyushu"
"Isa, Kagoshima"
"Aira, Kagoshima"
"Mishima, Kagoshima"
"Toshima, Kagoshima"
"Satsuma, Kagoshima"
"Nagashima, Kagoshima"
"Yusui, Kagoshima"
"osaki, Kagoshima"
"Higashikushira, Kagoshima"
"Kinko, Kagoshima"
"Minamiosumi, Kagoshima"
"Kimotsuki, Kagoshima"
"Nakatane, Kagoshima"
"Minamitane, Kagoshima"
"Yakushima, Kagoshima"
"Yamato, Kagoshima"
"Uken"
"Setouchi, Kagoshima"
"Tatsugo, Kagoshima"
"Kikai, Kagoshima"
"Tokunoshima, Kagoshima"
"Amagi, Kagoshima"
"Isen, Kagoshima"
"Wadomari, Kagoshima"
"China, Kagoshima"
"Yoron, Kagoshima"
"Naha"
"Ginowan, Okinawa"
"Ishigaki, Okinawa"
"Urasoe, Okinawa"
"Nago"
"Itoman, Okinawa"
"Okinawa (city)"
"Tomigusuku, Okinawa"
"Uruma"
"Miyakojima, Okinawa"
"Nanjo"
"Kunigami, Okinawa"
"ogimi"
"Higashi, Okinawa"
"Nakijin, Okinawa"
"Motobu, Okinawa"
"Onna, Okinawa"
"Ginoza, Okinawa"
"Kin, Okinawa"
"Ie, Okinawa"
"Yomitan"
"Kadena, Okinawa"
"Chatan, Okinawa"
"Kitanakagusuku, Okinawa"
"Nakagusuku, Okinawa"
"Nishihara, Okinawa"
"Yonabaru, Okinawa"
"Haebaru, Okinawa"
"Tokashiki, Okinawa"
"Zamami, Okinawa"
"Aguni, Okinawa"
"Tonaki, Okinawa"
"Minamidaito, Okinawa"
"Kitadaito, Okinawa"
"Iheya, Okinawa"
"Izena, Okinawa"
"Kumejima, Okinawa"
"Yaese, Okinawa"
"Tarama, Okinawa"
"Taketomi, Okinawa"
"Yonaguni, Okinawa"
